ISO,Democduration
USA,208
CAN,141
BHS,35
CUB,-99
HTI,-99
DOM,42
JAM,46
TTO,46
BRB,42
DMA,30
GRD,24
LCA,17
VCT,29
ATG,4
KNA,24
MEX,8
BLZ,27
GTM,22
HND,26
SLV,24
NIC,24
CRI,60
PAN,17
COL,50
VEN,-99
GUY,16
SUR,17
ECU,5
PER,7
BRA,29
BOL,26
PRY,5
CHL,18
ARG,25
URY,23
GBR,123
IRL,86
NLD,111
BEL,114
LUX,118
FRA,62
MCO,14
LIE,17
CHE,160
ESP,31
AND,14
PRT,32
DEU,18
POL,19
AUT,62
HUN,18
CZE,15
SVK,15
ITA,62
SMR,
MLT,44
ALB,11
SRB,2
MKD,17
HRV,8
BIH,#REF!
MNE,2
SVN,17
GRC,34
CYP,31
BGR,18
MDA,17
ROU,17
RUS,-99
EST,17
LVA,15
LTU,16
UKR,17
BLR,-99
ARM,-99
GEO,4
AZE,-99
FIN,91
SWE,97
NOR,108
DNK,107
ISL,90
CPV,17
STP,17
GNB,-99
GNQ,-99
GMB,-99
MLI,16
SEN,8
BEN,17
MRT,-99
NER,9
CIV,-99
GIN,-99
BFA,-99
LBR,2
SLE,6
GHA,11
TGO,-99
CMR,-99
NGA,-99
GAB,-99
CAF,-99
TCD,-99
COG,-99
COD,-99
UGA,-99
KEN,6
TZA,-99
BDI,3
RWA,-99
SOM,-99
DJI,-99
ETH,-99
ERI,-99
AGO,-99
MOZ,-99
ZMB,-99
ZWE,-99
MWI,14
ZAF,14
NAM,-99
LSO,6
BWA,42
SWZ,-99
MDG,15
COM,2
MUS,40
SYC,-99
MAR,-99
DZA,-99
TUN,-99
LBY,-99
SDN,-99
IRN,-99
TUR,25
IRQ,-88
EGY,-99
SYR,-99
LBN,-99
JOR,-99
ISR,60
SAU,-99
YEM,-99
KWT,-99
BHR,-99
QAT,-99
ARE,-99
OMN,-99
AFG,-88
TKM,-99
TJK,-99
KGZ,-99
UZB,-99
KAZ,-99
CHN,-99
MNG,18
TWN,12
PRK,-99
KOR,20
JPN,56
IND,58
BTN,-99
PAK,-99
BGD,-99
MMR,-99
LKA,17
MDV,-99
NPL,-99
THA,-99
KHM,-99
LAO,-99
VNM,-99
MYS,-99
SGP,-99
BRN,-99
PHL,22
IDN,9
TLS,6
AUS,107
PNG,33
NZL,151
VUT,28
SLB,2
KIR,11
TUV,30
FJI,-99
TON,-99
NRU,40
MHL,16
PLW,13
FSM,16
WSM,-99
