City,Country,Year,Pop,Longitude,Latitude
A Coruna,Spain,1900,43e3,-8.41154,43.362344
A Coruna,Spain,2000,43e3,-8.41154,43.362344
Aachen,Germany,1300,21e3,6.08342,50.77664
Aachen,Germany,1400,21e3,6.08342,50.77664
Aachen,Germany,1500,18e3,6.08342,50.77664
Aachen,Germany,1600,16e3,6.08342,50.77664
Aachen,Germany,1700,15e3,6.08342,50.77664
Aachen,Germany,1800,23e3,6.08342,50.77664
Aachen,Germany,1900,135e3,6.08342,50.77664
Aachen,Germany,2000,135e3,6.08342,50.77664
Aalborg,Denmark,1900,34e3,9.9187,57.048
Aalborg,Denmark,2000,34e3,9.9187,57.048
Aarhus,Denmark,1900,51e3,10.203920999999998,56.16293900000001
Aarhus,Denmark,2000,51e3,10.203920999999998,56.16293900000001
Abeokuta,Nigeria,1900,6e4,3.3499999999999996,7.1499999999999995
Abeokuta,Nigeria,2000,6e4,3.3499999999999996,7.1499999999999995
Aberdeen,United Kingdom,1400,2977.0,-2.09814,57.14369
Aberdeen,United Kingdom,1500,2977.0,-2.09814,57.14369
Aberdeen,United Kingdom,1600,5833.0,-2.09814,57.14369
Aberdeen,United Kingdom,1700,8750.0,-2.09814,57.14369
Aberdeen,United Kingdom,1800,26e3,-2.09814,57.14369
Aberdeen,United Kingdom,1900,15e4,-2.09814,57.14369
Aberdeen,United Kingdom,2000,15e4,-2.09814,57.14369
Abidjan,Cote D'Ivoire,2000,1929e3,-4.01266,5.309660000000001
Abidjan,Cote d'Ivoire,2000,1929e3,-4.01266,5.309660000000001
Abo,Finland,1900,38e3,22.259231,60.449325
Abo,Finland,2000,38e3,22.259231,60.449325
Abomey-Calavi,Benin,1800,24e3,1.9911899999999998,7.18286
Abomey-Calavi,Benin,1900,2e4,1.9911899999999998,7.18286
Abomey-Calavi,Benin,2000,2e4,1.9911899999999998,7.18286
Accra,Ghana,2000,99e4,-0.19690000000000002,5.55602
Achin,Indonesia,1600,42e3,95.31666700000001,5.55
Achin,Indonesia,1700,48e3,95.31666700000001,5.55
Achin,Indonesia,1800,4e4,95.31666700000001,5.55
Achin,Indonesia,1900,3e4,95.31666700000001,5.55
Achin,Indonesia,2000,3e4,95.31666700000001,5.55
Acre,Israel,1200,4e4,35.08166699999999,32.927778000000004
Acre,Israel,1300,57e3,35.08166699999999,32.927778000000004
Acre,Israel,1400,57e3,35.08166699999999,32.927778000000004
Acre,Israel,1500,57e3,35.08166699999999,32.927778000000004
Acre,Israel,1600,57e3,35.08166699999999,32.927778000000004
Acre,Israel,1700,57e3,35.08166699999999,32.927778000000004
Acre,Israel,1800,3e4,35.08166699999999,32.927778000000004
Acre,Israel,1900,3e4,35.08166699999999,32.927778000000004
Acre,Israel,2000,3e4,35.08166699999999,32.927778000000004
Adab,Iraq,-100,1e4,45.968421340000006,31.94700807
Adab,Iraq,-1000,1e4,45.968421340000006,31.94700807
Adab,Iraq,-1100,1e4,45.968421340000006,31.94700807
Adab,Iraq,-1200,1e4,45.968421340000006,31.94700807
Adab,Iraq,-1300,1e4,45.968421340000006,31.94700807
Adab,Iraq,-1400,1e4,45.968421340000006,31.94700807
Adab,Iraq,-1500,1e4,45.968421340000006,31.94700807
Adab,Iraq,-1600,1e4,45.968421340000006,31.94700807
Adab,Iraq,-1700,1e4,45.968421340000006,31.94700807
Adab,Iraq,-1800,1e4,45.968421340000006,31.94700807
Adab,Iraq,-1900,1e4,45.968421340000006,31.94700807
Adab,Iraq,-200,1e4,45.968421340000006,31.94700807
Adab,Iraq,-2000,1e4,45.968421340000006,31.94700807
Adab,Iraq,-2100,1e4,45.968421340000006,31.94700807
Adab,Iraq,-2200,3e4,45.968421340000006,31.94700807
Adab,Iraq,-2300,1e4,45.968421340000006,31.94700807
Adab,Iraq,-2400,1e4,45.968421340000006,31.94700807
Adab,Iraq,-2500,2e4,45.968421340000006,31.94700807
Adab,Iraq,-2800,1e4,45.968421340000006,31.94700807
Adab,Iraq,-300,1e4,45.968421340000006,31.94700807
Adab,Iraq,-400,1e4,45.968421340000006,31.94700807
Adab,Iraq,-500,1e4,45.968421340000006,31.94700807
Adab,Iraq,-600,1e4,45.968421340000006,31.94700807
Adab,Iraq,-700,1e4,45.968421340000006,31.94700807
Adab,Iraq,-800,1e4,45.968421340000006,31.94700807
Adab,Iraq,-900,1e4,45.968421340000006,31.94700807
Adab,Iraq,100,1e4,45.968421340000006,31.94700807
Adab,Iraq,1000,1e4,45.968421340000006,31.94700807
Adab,Iraq,1100,1e4,45.968421340000006,31.94700807
Adab,Iraq,1200,1e4,45.968421340000006,31.94700807
Adab,Iraq,1300,1e4,45.968421340000006,31.94700807
Adab,Iraq,1400,1e4,45.968421340000006,31.94700807
Adab,Iraq,1500,1e4,45.968421340000006,31.94700807
Adab,Iraq,1600,1e4,45.968421340000006,31.94700807
Adab,Iraq,1700,1e4,45.968421340000006,31.94700807
Adab,Iraq,1800,1e4,45.968421340000006,31.94700807
Adab,Iraq,1900,1e4,45.968421340000006,31.94700807
Adab,Iraq,200,1e4,45.968421340000006,31.94700807
Adab,Iraq,2000,1e4,45.968421340000006,31.94700807
Adab,Iraq,300,1e4,45.968421340000006,31.94700807
Adab,Iraq,400,1e4,45.968421340000006,31.94700807
Adab,Iraq,500,1e4,45.968421340000006,31.94700807
Adab,Iraq,600,1e4,45.968421340000006,31.94700807
Adab,Iraq,700,1e4,45.968421340000006,31.94700807
Adab,Iraq,800,1e4,45.968421340000006,31.94700807
Adab,Iraq,900,1e4,45.968421340000006,31.94700807
Adana,Turkey,1800,3e4,35.32889,37.00167
Adana,Turkey,1900,3e4,35.32889,37.00167
Adana,Turkey,2000,1041e3,35.32889,37.00167
Addis Ababa,Ethiopia,1900,35e3,38.74689,9.024969999999998
Addis Ababa,Ethiopia,2000,2424e3,38.74689,9.024969999999998
Adelaide,Australia,1900,159e3,138.59863000000001,-34.92866
Adelaide,Australia,2000,1092e3,138.59863000000001,-34.92866
Aden,Yemen,1900,35e3,45.03667,12.779440000000001
Aden,Yemen,2000,35e3,45.03667,12.779440000000001
Agades,Niger,1600,3e4,7.983333000000001,16.966666999999998
Agades,Niger,1700,45e3,7.983333000000001,16.966666999999998
Agades,Niger,1800,4e4,7.983333000000001,16.966666999999998
Agades,Niger,1900,7e3,7.983333000000001,16.966666999999998
Agades,Niger,2000,7e3,7.983333000000001,16.966666999999998
Agra,India,1600,5e5,78.01667,27.183329999999998
Agra,India,1700,7e4,78.01667,27.183329999999998
Agra,India,1800,6e4,78.01667,27.183329999999998
Agra,India,1900,186e3,78.01667,27.183329999999998
Agra,India,2000,65e4,78.01667,27.183329999999998
Agrigento,Italy,-100,4e4,13.584272039999998,37.29082765
Agrigento,Italy,-200,4e4,13.584272039999998,37.29082765
Agrigento,Italy,-300,4e4,13.584272039999998,37.29082765
Agrigento,Italy,-400,4e4,13.584272039999998,37.29082765
Agrigento,Italy,100,4e4,13.584272039999998,37.29082765
Agrigento,Italy,1000,4e4,13.584272039999998,37.29082765
Agrigento,Italy,1100,4e4,13.584272039999998,37.29082765
Agrigento,Italy,1200,4e4,13.584272039999998,37.29082765
Agrigento,Italy,1300,4e4,13.584272039999998,37.29082765
Agrigento,Italy,1400,4e4,13.584272039999998,37.29082765
Agrigento,Italy,1500,4e4,13.584272039999998,37.29082765
Agrigento,Italy,1600,4e4,13.584272039999998,37.29082765
Agrigento,Italy,1700,4e4,13.584272039999998,37.29082765
Agrigento,Italy,1800,4e4,13.584272039999998,37.29082765
Agrigento,Italy,1900,4e4,13.584272039999998,37.29082765
Agrigento,Italy,200,4e4,13.584272039999998,37.29082765
Agrigento,Italy,2000,4e4,13.584272039999998,37.29082765
Agrigento,Italy,300,4e4,13.584272039999998,37.29082765
Agrigento,Italy,400,4e4,13.584272039999998,37.29082765
Agrigento,Italy,500,4e4,13.584272039999998,37.29082765
Agrigento,Italy,600,4e4,13.584272039999998,37.29082765
Agrigento,Italy,700,4e4,13.584272039999998,37.29082765
Agrigento,Italy,800,4e4,13.584272039999998,37.29082765
Agrigento,Italy,900,4e4,13.584272039999998,37.29082765
Aguascalientes,Mexico,1900,35e3,-102.28259,21.882339999999996
Aguascalientes,Mexico,2000,35e3,-102.28259,21.882339999999996
Ahmadabad,India,2000,2954e3,72.566004,23.039568000000003
Ahmedabad,India,1500,1e5,72.566004,23.039568000000003
Ahmedabad,India,1600,19e4,72.566004,23.039568000000003
Ahmedabad,India,1700,385e3,72.566004,23.039568000000003
Ahmedabad,India,1800,89e3,72.566004,23.039568000000003
Ahmedabad,India,1900,181e3,72.566004,23.039568000000003
Ahmednagar,India,1500,6e4,74.749592,19.095208
Ahmednagar,India,1600,75e3,74.749592,19.095208
Ahmednagar,India,1700,75e3,74.749592,19.095208
Ahmednagar,India,1800,75e3,74.749592,19.095208
Ahmednagar,India,1900,41e3,74.749592,19.095208
Ahmednagar,India,2000,41e3,74.749592,19.095208
Aix,France,1300,9e3,5.445429000000001,43.526304
Aix,France,1400,9e3,5.445429000000001,43.526304
Aix,France,1500,9e3,5.445429000000001,43.526304
Aix,France,1600,9e3,5.445429000000001,43.526304
Aix,France,1700,23e3,5.445429000000001,43.526304
Aix,France,1800,2e4,5.445429000000001,43.526304
Aix,France,1900,23e3,5.445429000000001,43.526304
Aix,France,2000,23e3,5.445429000000001,43.526304
Ajmer,India,1800,23e3,74.64116000000001,26.449759999999998
Ajmer,India,1900,73e3,74.64116000000001,26.449759999999998
Ajmer,India,2000,73e3,74.64116000000001,26.449759999999998
Akita,Japan,1800,39e3,140.11666999999997,39.71667
Akkad,Iraq,-100,3e4,44.32045916,32.77156192
Akkad,Iraq,-1000,3e4,44.32045916,32.77156192
Akkad,Iraq,-1100,3e4,44.32045916,32.77156192
Akkad,Iraq,-1200,3e4,44.32045916,32.77156192
Akkad,Iraq,-1300,3e4,44.32045916,32.77156192
Akkad,Iraq,-1400,3e4,44.32045916,32.77156192
Akkad,Iraq,-1500,3e4,44.32045916,32.77156192
Akkad,Iraq,-1600,3e4,44.32045916,32.77156192
Akkad,Iraq,-1700,3e4,44.32045916,32.77156192
Akkad,Iraq,-1800,3e4,44.32045916,32.77156192
Akkad,Iraq,-1900,3e4,44.32045916,32.77156192
Akkad,Iraq,-200,3e4,44.32045916,32.77156192
Akkad,Iraq,-2000,3e4,44.32045916,32.77156192
Akkad,Iraq,-2100,3e4,44.32045916,32.77156192
Akkad,Iraq,-2200,3e4,44.32045916,32.77156192
Akkad,Iraq,-300,3e4,44.32045916,32.77156192
Akkad,Iraq,-400,3e4,44.32045916,32.77156192
Akkad,Iraq,-500,3e4,44.32045916,32.77156192
Akkad,Iraq,-600,3e4,44.32045916,32.77156192
Akkad,Iraq,-700,3e4,44.32045916,32.77156192
Akkad,Iraq,-800,3e4,44.32045916,32.77156192
Akkad,Iraq,-900,3e4,44.32045916,32.77156192
Akkad,Iraq,100,3e4,44.32045916,32.77156192
Akkad,Iraq,1000,3e4,44.32045916,32.77156192
Akkad,Iraq,1100,3e4,44.32045916,32.77156192
Akkad,Iraq,1200,3e4,44.32045916,32.77156192
Akkad,Iraq,1300,3e4,44.32045916,32.77156192
Akkad,Iraq,1400,3e4,44.32045916,32.77156192
Akkad,Iraq,1500,3e4,44.32045916,32.77156192
Akkad,Iraq,1600,3e4,44.32045916,32.77156192
Akkad,Iraq,1700,3e4,44.32045916,32.77156192
Akkad,Iraq,1800,3e4,44.32045916,32.77156192
Akkad,Iraq,1900,3e4,44.32045916,32.77156192
Akkad,Iraq,200,3e4,44.32045916,32.77156192
Akkad,Iraq,2000,3e4,44.32045916,32.77156192
Akkad,Iraq,300,3e4,44.32045916,32.77156192
Akkad,Iraq,400,3e4,44.32045916,32.77156192
Akkad,Iraq,500,3e4,44.32045916,32.77156192
Akkad,Iraq,600,3e4,44.32045916,32.77156192
Akkad,Iraq,700,3e4,44.32045916,32.77156192
Akkad,Iraq,800,3e4,44.32045916,32.77156192
Akkad,Iraq,900,3e4,44.32045916,32.77156192
Akron,United States of America,1900,42e3,-81.51780000000001,41.073100000000004
Akron,United States of America,2000,628e3,-81.51780000000001,41.073100000000004
Akrotiri,Greece,-100,2e4,25.403610999999998,36.35138899999999
Akrotiri,Greece,-1000,2e4,25.403610999999998,36.35138899999999
Akrotiri,Greece,-1100,2e4,25.403610999999998,36.35138899999999
Akrotiri,Greece,-1200,2e4,25.403610999999998,36.35138899999999
Akrotiri,Greece,-1300,2e4,25.403610999999998,36.35138899999999
Akrotiri,Greece,-1400,2e4,25.403610999999998,36.35138899999999
Akrotiri,Greece,-1500,2e4,25.403610999999998,36.35138899999999
Akrotiri,Greece,-200,2e4,25.403610999999998,36.35138899999999
Akrotiri,Greece,-300,2e4,25.403610999999998,36.35138899999999
Akrotiri,Greece,-400,2e4,25.403610999999998,36.35138899999999
Akrotiri,Greece,-500,2e4,25.403610999999998,36.35138899999999
Akrotiri,Greece,-600,2e4,25.403610999999998,36.35138899999999
Akrotiri,Greece,-700,2e4,25.403610999999998,36.35138899999999
Akrotiri,Greece,-800,2e4,25.403610999999998,36.35138899999999
Akrotiri,Greece,-900,2e4,25.403610999999998,36.35138899999999
Akrotiri,Greece,100,2e4,25.403610999999998,36.35138899999999
Akrotiri,Greece,1000,2e4,25.403610999999998,36.35138899999999
Akrotiri,Greece,1100,2e4,25.403610999999998,36.35138899999999
Akrotiri,Greece,1200,2e4,25.403610999999998,36.35138899999999
Akrotiri,Greece,1300,2e4,25.403610999999998,36.35138899999999
Akrotiri,Greece,1400,2e4,25.403610999999998,36.35138899999999
Akrotiri,Greece,1500,2e4,25.403610999999998,36.35138899999999
Akrotiri,Greece,1600,2e4,25.403610999999998,36.35138899999999
Akrotiri,Greece,1700,2e4,25.403610999999998,36.35138899999999
Akrotiri,Greece,1800,2e4,25.403610999999998,36.35138899999999
Akrotiri,Greece,1900,2e4,25.403610999999998,36.35138899999999
Akrotiri,Greece,200,2e4,25.403610999999998,36.35138899999999
Akrotiri,Greece,2000,2e4,25.403610999999998,36.35138899999999
Akrotiri,Greece,300,2e4,25.403610999999998,36.35138899999999
Akrotiri,Greece,400,2e4,25.403610999999998,36.35138899999999
Akrotiri,Greece,500,2e4,25.403610999999998,36.35138899999999
Akrotiri,Greece,600,2e4,25.403610999999998,36.35138899999999
Akrotiri,Greece,700,2e4,25.403610999999998,36.35138899999999
Akrotiri,Greece,800,2e4,25.403610999999998,36.35138899999999
Akrotiri,Greece,900,2e4,25.403610999999998,36.35138899999999
Akshak,Iraq,-100,2e4,44.24471719,33.94720141999999
Akshak,Iraq,-1000,2e4,44.24471719,33.94720141999999
Akshak,Iraq,-1100,2e4,44.24471719,33.94720141999999
Akshak,Iraq,-1200,2e4,44.24471719,33.94720141999999
Akshak,Iraq,-1300,2e4,44.24471719,33.94720141999999
Akshak,Iraq,-1400,2e4,44.24471719,33.94720141999999
Akshak,Iraq,-1500,2e4,44.24471719,33.94720141999999
Akshak,Iraq,-1600,2e4,44.24471719,33.94720141999999
Akshak,Iraq,-1700,2e4,44.24471719,33.94720141999999
Akshak,Iraq,-1800,2e4,44.24471719,33.94720141999999
Akshak,Iraq,-1900,2e4,44.24471719,33.94720141999999
Akshak,Iraq,-200,2e4,44.24471719,33.94720141999999
Akshak,Iraq,-2000,2e4,44.24471719,33.94720141999999
Akshak,Iraq,-2100,2e4,44.24471719,33.94720141999999
Akshak,Iraq,-2200,2e4,44.24471719,33.94720141999999
Akshak,Iraq,-2300,2e4,44.24471719,33.94720141999999
Akshak,Iraq,-2400,2e4,44.24471719,33.94720141999999
Akshak,Iraq,-2500,1e4,44.24471719,33.94720141999999
Akshak,Iraq,-300,2e4,44.24471719,33.94720141999999
Akshak,Iraq,-400,2e4,44.24471719,33.94720141999999
Akshak,Iraq,-500,2e4,44.24471719,33.94720141999999
Akshak,Iraq,-600,2e4,44.24471719,33.94720141999999
Akshak,Iraq,-700,2e4,44.24471719,33.94720141999999
Akshak,Iraq,-800,2e4,44.24471719,33.94720141999999
Akshak,Iraq,-900,2e4,44.24471719,33.94720141999999
Akshak,Iraq,100,2e4,44.24471719,33.94720141999999
Akshak,Iraq,1000,2e4,44.24471719,33.94720141999999
Akshak,Iraq,1100,2e4,44.24471719,33.94720141999999
Akshak,Iraq,1200,2e4,44.24471719,33.94720141999999
Akshak,Iraq,1300,2e4,44.24471719,33.94720141999999
Akshak,Iraq,1400,2e4,44.24471719,33.94720141999999
Akshak,Iraq,1500,2e4,44.24471719,33.94720141999999
Akshak,Iraq,1600,2e4,44.24471719,33.94720141999999
Akshak,Iraq,1700,2e4,44.24471719,33.94720141999999
Akshak,Iraq,1800,2e4,44.24471719,33.94720141999999
Akshak,Iraq,1900,2e4,44.24471719,33.94720141999999
Akshak,Iraq,200,2e4,44.24471719,33.94720141999999
Akshak,Iraq,2000,2e4,44.24471719,33.94720141999999
Akshak,Iraq,300,2e4,44.24471719,33.94720141999999
Akshak,Iraq,400,2e4,44.24471719,33.94720141999999
Akshak,Iraq,500,2e4,44.24471719,33.94720141999999
Akshak,Iraq,600,2e4,44.24471719,33.94720141999999
Akshak,Iraq,700,2e4,44.24471719,33.94720141999999
Akshak,Iraq,800,2e4,44.24471719,33.94720141999999
Akshak,Iraq,900,2e4,44.24471719,33.94720141999999
Aksu,China,1000,1500.0,80.26444000000001,41.12306
Aksu,China,1100,1500.0,80.26444000000001,41.12306
Aksu,China,1200,1500.0,80.26444000000001,41.12306
Aksu,China,1300,1500.0,80.26444000000001,41.12306
Aksu,China,1400,1500.0,80.26444000000001,41.12306
Aksu,China,1500,1500.0,80.26444000000001,41.12306
Aksu,China,1600,1500.0,80.26444000000001,41.12306
Aksu,China,1700,1500.0,80.26444000000001,41.12306
Aksu,China,1800,1500.0,80.26444000000001,41.12306
Aksu,China,1900,24e3,80.26444000000001,41.12306
Aksu,China,2000,24e3,80.26444000000001,41.12306
Aksu,China,700,1500.0,80.26444000000001,41.12306
Aksu,China,800,1500.0,80.26444000000001,41.12306
Aksu,China,900,1500.0,80.26444000000001,41.12306
Akyab,Myanmar,1900,35e3,92.896944,20.144444
Akyab,Myanmar,2000,35e3,92.896944,20.144444
Al Ahsa,Saudi Arabia,1000,1e5,49.621944,25.429443999999997
Al-Hasa,Saudi Arabia,1000,11e4,49.621944,25.429443999999997
Al-Hasa,Saudi Arabia,1100,11e4,49.621944,25.429443999999997
Al-Hasa,Saudi Arabia,1200,11e4,49.621944,25.429443999999997
Al-Hasa,Saudi Arabia,1300,11e4,49.621944,25.429443999999997
Al-Hasa,Saudi Arabia,1400,11e4,49.621944,25.429443999999997
Al-Hasa,Saudi Arabia,1500,11e4,49.621944,25.429443999999997
Al-Hasa,Saudi Arabia,1600,11e4,49.621944,25.429443999999997
Al-Hasa,Saudi Arabia,1700,11e4,49.621944,25.429443999999997
Al-Hasa,Saudi Arabia,1800,11e4,49.621944,25.429443999999997
Al-Hasa,Saudi Arabia,1900,11e4,49.621944,25.429443999999997
Al-Hasa,Saudi Arabia,2000,11e4,49.621944,25.429443999999997
Albany,United States of America,1800,5389.0,-73.75623300000001,42.652578000000005
Albany,United States of America,1900,99e3,-73.75623300000001,42.652578000000005
Albany,United States of America,2000,745e3,-73.75623300000001,42.652578000000005
Aldershot,United Kingdom,1900,3e4,-0.7638900000000001,51.248270000000005
Aldershot,United Kingdom,2000,3e4,-0.7638900000000001,51.248270000000005
Aleppo,Syria,-100,1e4,37.166667,36.216666999999994
Aleppo,Syria,-1000,1e4,37.166667,36.216666999999994
Aleppo,Syria,-1100,1e4,37.166667,36.216666999999994
Aleppo,Syria,-1200,1e4,37.166667,36.216666999999994
Aleppo,Syria,-1300,1e4,37.166667,36.216666999999994
Aleppo,Syria,-1400,1e4,37.166667,36.216666999999994
Aleppo,Syria,-1500,1e4,37.166667,36.216666999999994
Aleppo,Syria,-1600,1e4,37.166667,36.216666999999994
Aleppo,Syria,-1700,1e4,37.166667,36.216666999999994
Aleppo,Syria,-1800,1e4,37.166667,36.216666999999994
Aleppo,Syria,-200,1e4,37.166667,36.216666999999994
Aleppo,Syria,-300,1e4,37.166667,36.216666999999994
Aleppo,Syria,-400,1e4,37.166667,36.216666999999994
Aleppo,Syria,-500,1e4,37.166667,36.216666999999994
Aleppo,Syria,-600,1e4,37.166667,36.216666999999994
Aleppo,Syria,-700,1e4,37.166667,36.216666999999994
Aleppo,Syria,-800,1e4,37.166667,36.216666999999994
Aleppo,Syria,-900,1e4,37.166667,36.216666999999994
Aleppo,Syria,100,1e4,37.166667,36.216666999999994
Aleppo,Syria,1000,4e4,37.166667,36.216666999999994
Aleppo,Syria,1100,35e3,37.166667,36.216666999999994
Aleppo,Syria,1200,45e3,37.166667,36.216666999999994
Aleppo,Syria,1300,0.0,37.166667,36.216666999999994
Aleppo,Syria,1400,75e3,37.166667,36.216666999999994
Aleppo,Syria,1500,67e3,37.166667,36.216666999999994
Aleppo,Syria,1600,61e3,37.166667,36.216666999999994
Aleppo,Syria,1700,67e3,37.166667,36.216666999999994
Aleppo,Syria,1800,72e3,37.166667,36.216666999999994
Aleppo,Syria,1900,13e4,37.166667,36.216666999999994
Aleppo,Syria,200,1e4,37.166667,36.216666999999994
Aleppo,Syria,2000,74e4,37.166667,36.216666999999994
Aleppo,Syria,2000,1582e3,37.166700000000006,36.2167
Aleppo,Syria,300,1e4,37.166667,36.216666999999994
Aleppo,Syria,400,1e4,37.166667,36.216666999999994
Aleppo,Syria,500,1e4,37.166667,36.216666999999994
Aleppo,Syria,600,1e4,37.166667,36.216666999999994
Aleppo,Syria,700,72e3,37.166667,36.216666999999994
Aleppo,Syria,800,72e3,37.166667,36.216666999999994
Aleppo,Syria,900,72e3,37.166667,36.216666999999994
Alessandria,Italy,1200,15e3,8.618939999999998,44.91245
Alessandria,Italy,1300,15e3,8.618939999999998,44.91245
Alessandria,Italy,1400,15e3,8.618939999999998,44.91245
Alessandria,Italy,1500,15e3,8.618939999999998,44.91245
Alessandria,Italy,1600,13900.0,8.618939999999998,44.91245
Alessandria,Italy,1700,13900.0,8.618939999999998,44.91245
Alessandria,Italy,1800,18581.0,8.618939999999998,44.91245
Alessandria,Italy,1900,48e3,8.618939999999998,44.91245
Alessandria,Italy,2000,48e3,8.618939999999998,44.91245
Alexandria,Egypt,-100,1e6,29.918738999999995,31.200091999999998
Alexandria,Egypt,-200,45e4,29.918738999999995,31.200091999999998
Alexandria,Egypt,-300,3e5,29.918738999999995,31.200091999999998
Alexandria,Egypt,100,5e5,29.918738999999995,31.200091999999998
Alexandria,Egypt,1000,137500.0,29.918738999999995,31.200091999999998
