Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON,Year_1
1880,-30,-19,-11,-20,-12,-23,-21,-10,-16,-24,-20,-23,-19,***,****,-14,-18,-20,1880
1881,-15,-18,4,4,2,-20,-6,-2,-14,-21,-22,-11,-10,-11,-19,3,-10,-19,1881
1882,14,15,4,-19,-16,-26,-20,-5,-10,-25,-16,-24,-11,-10,6,-10,-17,-17,1882
1883,-31,-39,-13,-17,-20,-13,-8,-15,-20,-14,-22,-16,-19,-20,-32,-17,-12,-19,1883
1884,-15,-8,-37,-43,-37,-40,-34,-26,-27,-24,-30,-28,-29,-28,-13,-39,-34,-27,1884
1885,-59,-30,-25,-42,-42,-44,-35,-31,-23,-19,-20,-5,-31,-33,-39,-37,-37,-21,1885
1886,-42,-46,-38,-28,-26,-39,-22,-34,-26,-29,-31,-26,-32,-30,-31,-31,-32,-29,1886
1887,-73,-53,-34,-39,-32,-24,-23,-32,-23,-33,-24,-34,-35,-35,-51,-35,-27,-27,1887
1888,-38,-36,-41,-22,-22,-18,-10,-16,-10,2,1,-7,-18,-20,-36,-29,-15,-3,1888
1889,-12,18,8,7,-3,-14,-10,-20,-22,-23,-33,-30,-11,-9,0,4,-15,-26,1889
1890,-45,-46,-41,-37,-46,-27,-27,-39,-40,-25,-48,-32,-38,-38,-40,-41,-31,-38,1890
1891,-42,-49,-19,-29,-19,-21,-21,-17,-15,-22,-36,-5,-25,-27,-41,-22,-20,-24,1891
1892,-29,-12,-36,-35,-25,-24,-33,-26,-13,-13,-42,-39,-27,-24,-16,-32,-28,-23,1892
1893,-80,-55,-24,-30,-37,-29,-17,-27,-21,-17,-17,-36,-32,-33,-58,-30,-24,-19,1893
1894,-54,-34,-25,-49,-36,-44,-26,-23,-25,-21,-26,-20,-32,-33,-41,-37,-31,-24,1894
1895,-45,-43,-29,-26,-28,-25,-18,-17,-10,-9,-15,-16,-23,-24,-36,-28,-20,-11,1895
1896,-26,-15,-26,-31,-19,-15,-4,-4,-4,11,-8,-4,-12,-13,-19,-25,-8,0,1896
1897,-15,-15,-14,-3,-5,-17,-8,-11,-8,-13,-19,-19,-12,-11,-11,-7,-12,-14,1897
1898,-3,-29,-52,-33,-32,-21,-24,-26,-22,-34,-39,-26,-29,-28,-17,-39,-24,-32,1898
1899,-20,-41,-34,-21,-24,-34,-18,-7,-3,-5,11,-29,-19,-19,-29,-27,-20,1,1899
1900,-38,-3,1,-13,-11,-13,-13,-11,-5,8,-10,-7,-10,-11,-23,-7,-12,-2,1900
1901,-24,-4,8,-4,-17,-13,-16,-21,-22,-31,-16,-27,-16,-14,-12,-4,-17,-23,1901
1902,-19,-4,-29,-30,-36,-35,-29,-33,-29,-31,-39,-46,-30,-28,-17,-32,-32,-33,1902
1903,-26,-5,-23,-43,-45,-46,-38,-48,-48,-49,-45,-53,-39,-38,-25,-37,-44,-47,1903
1904,-67,-58,-51,-55,-56,-52,-55,-52,-53,-40,-22,-35,-50,-51,-59,-54,-53,-39,1904
1905,-40,-60,-23,-36,-34,-31,-30,-22,-19,-26,-11,-19,-29,-31,-45,-31,-28,-19,1905
1906,-29,-31,-17,-5,-25,-21,-25,-20,-27,-19,-39,-17,-23,-23,-26,-15,-22,-28,1906
1907,-42,-52,-27,-39,-47,-44,-37,-36,-34,-25,-49,-49,-40,-37,-37,-37,-39,-36,1907
1908,-44,-31,-54,-46,-42,-42,-40,-47,-36,-46,-51,-50,-44,-44,-41,-47,-43,-44,1908
1909,-69,-47,-52,-61,-57,-53,-46,-32,-36,-37,-31,-55,-48,-48,-55,-56,-43,-35,1909
1910,-45,-44,-51,-41,-36,-38,-35,-37,-36,-38,-54,-66,-43,-43,-48,-43,-37,-43,1910
1911,-63,-57,-59,-53,-51,-47,-40,-41,-37,-22,-17,-22,-42,-46,-62,-55,-43,-26,1911
1912,-26,-12,-35,-20,-22,-26,-44,-55,-51,-56,-38,-43,-36,-34,-20,-25,-42,-48,1912
1913,-41,-43,-43,-40,-47,-49,-36,-34,-36,-34,-19,-3,-35,-39,-42,-43,-40,-29,1913
1914,4,-11,-22,-29,-23,-27,-24,-14,-13,-4,-18,-8,-16,-15,-3,-25,-22,-12,1914
1915,-17,0,-9,6,-6,-20,-10,-20,-16,-25,-12,-16,-12,-11,-8,-3,-17,-18,1915
1916,-8,-12,-28,-29,-32,-46,-35,-25,-31,-27,-39,-79,-33,-27,-12,-30,-35,-32,1916
1917,-58,-61,-60,-50,-54,-43,-25,-21,-17,-40,-28,-66,-44,-45,-66,-55,-29,-28,1917
1918,-42,-31,-24,-44,-45,-35,-31,-29,-14,-5,-10,-27,-28,-31,-46,-38,-32,-10,1918
1919,-20,-22,-19,-12,-27,-36,-28,-32,-21,-18,-40,-40,-26,-25,-23,-19,-32,-27,1919
1920,-21,-22,-7,-25,-26,-35,-30,-23,-18,-25,-25,-43,-25,-25,-28,-19,-30,-23,1920
1921,-1,-18,-21,-28,-28,-26,-14,-23,-16,-2,-12,-16,-17,-19,-20,-26,-21,-10,1921
1922,-32,-43,-11,-23,-32,-31,-24,-29,-30,-31,-12,-17,-26,-26,-30,-22,-28,-24,1922
1923,-28,-36,-33,-39,-33,-25,-28,-29,-27,-10,2,-2,-24,-25,-27,-35,-27,-12,1923
1924,-21,-23,-6,-31,-18,-22,-25,-33,-30,-32,-19,-41,-25,-22,-15,-18,-27,-27,1924
1925,-36,-37,-25,-25,-30,-32,-27,-15,-16,-17,4,9,-21,-25,-38,-26,-25,-10,1925
1926,20,6,12,-12,-22,-22,-24,-13,-12,-9,-5,-28,-9,-6,12,-7,-20,-9,1926
1927,-27,-18,-36,-30,-25,-26,-16,-20,-10,0,-3,-33,-20,-20,-24,-31,-21,-5,1927
1928,-1,-8,-27,-27,-30,-37,-18,-21,-18,-17,-9,-17,-19,-20,-14,-28,-25,-14,1928
1929,-46,-59,-31,-39,-38,-40,-33,-29,-22,-13,-11,-53,-35,-32,-41,-36,-34,-15,1929
1930,-30,-27,-8,-24,-23,-19,-19,-12,-11,-9,16,-6,-14,-18,-37,-18,-17,-1,1930
1931,-10,-24,-8,-22,-20,-7,-3,-3,-7,2,-11,-9,-10,-10,-13,-16,-4,-5,1931
1932,14,-18,-19,-6,-19,-30,-24,-23,-11,-11,-26,-25,-17,-15,-4,-15,-26,-16,1932
1933,-34,-34,-30,-25,-29,-34,-21,-24,-27,-21,-30,-46,-29,-28,-31,-28,-26,-26,1933
1934,-24,-4,-32,-30,-11,-15,-10,-11,-16,-8,3,-4,-14,-17,-25,-25,-12,-7,1934
1935,-33,15,-13,-36,-30,-27,-23,-22,-21,-8,-28,-20,-20,-19,-8,-26,-24,-19,1935
1936,-28,-39,-22,-20,-18,-21,-8,-14,-9,-4,-4,-3,-16,-17,-29,-20,-14,-6,1936
1937,-13,3,-18,-17,-8,-5,-5,2,11,8,9,-12,-4,-3,-4,-14,-3,10,1937
1938,2,-2,8,4,-10,-18,-9,-6,2,11,4,-22,-3,-2,-4,1,-11,6,1938
1939,-7,-8,-19,-10,-6,-8,-8,-8,-7,-3,6,44,-3,-8,-13,-12,-8,-1,1939
1940,-6,12,15,18,9,8,12,4,13,7,17,27,11,13,17,14,8,12,1940
1941,21,32,8,17,14,11,21,14,2,33,24,20,18,19,27,13,15,20,1941
1942,26,1,9,10,8,4,0,-4,-4,-1,8,7,5,7,16,9,0,1,1942
1943,-4,13,-8,7,4,-6,8,0,6,22,20,24,7,6,5,1,1,16,1943
1944,35,26,27,19,19,20,18,17,30,25,10,2,21,22,29,22,18,22,1944
1945,10,-2,7,18,4,0,3,27,22,18,7,-9,9,10,3,10,10,16,1945
1946,15,7,1,6,-8,-21,-14,-16,-7,-6,-6,-35,-7,-5,4,-1,-17,-6,1946
1947,-12,-8,7,7,-4,2,-8,-9,-13,5,2,-16,-4,-5,-19,4,-5,-2,1947
1948,7,-16,-26,-12,1,-5,-12,-13,-12,-8,-12,-23,-11,-10,-8,-12,-10,-10,1948
1949,9,-17,-3,-10,-8,-23,-14,-12,-14,-7,-10,-23,-11,-11,-10,-7,-16,-10,1949
1950,-33,-28,-7,-20,-10,-3,-10,-17,-12,-22,-38,-20,-18,-19,-28,-12,-10,-24,1950
1951,-34,-43,-21,-12,0,-2,3,6,9,6,-1,14,-6,-9,-32,-11,3,4,1951
1952,13,11,-9,2,-2,-3,4,5,8,0,-14,-1,1,2,13,-3,2,-2,1952
1953,8,15,11,18,9,10,0,6,5,7,-5,3,7,7,7,13,6,2,1953
1954,-27,-12,-15,-16,-21,-17,-18,-16,-9,-4,6,-21,-14,-12,-12,-17,-17,-2,1954
1955,14,-17,-34,-21,-20,-11,-12,1,-11,-5,-24,-30,-14,-14,-8,-25,-7,-13,1955
1956,-16,-26,-23,-27,-31,-16,-12,-26,-20,-24,-17,-7,-20,-22,-24,-27,-18,-20,1956
1957,-11,-4,-6,-1,9,17,1,15,9,2,7,16,5,3,-7,1,11,6,1957
1958,40,24,11,3,7,-7,5,-3,-2,5,2,1,7,8,27,7,-2,2,1958
1959,8,9,18,13,4,3,6,-1,-6,-9,-9,-1,3,3,6,12,2,-8,1959
1960,0,16,-34,-14,-7,-4,-3,2,7,7,-12,18,-2,-4,5,-18,-2,1,1960
1961,7,19,9,12,12,11,0,3,7,0,3,-15,6,8,15,11,5,3,1961
1962,7,14,12,4,-4,5,2,-1,1,0,7,0,4,3,2,4,2,3,1962
1963,-2,20,-14,-6,-4,5,9,27,20,15,15,-1,7,7,6,-8,14,17,1963
1964,-8,-13,-23,-31,-24,-2,-3,-21,-29,-31,-21,-30,-20,-17,-7,-26,-8,-27,1964
1965,-8,-17,-11,-19,-14,-9,-12,-3,-16,-5,-6,-6,-10,-12,-18,-14,-8,-9,1965
1966,-17,0,5,-13,-11,1,9,-8,-2,-15,-2,-5,-5,-5,-8,-6,1,-6,1966
1967,-6,-21,4,-5,14,-8,1,1,-6,9,-7,-3,-2,-2,-11,5,-2,-1,1967
1968,-26,-15,21,-5,-13,-7,-12,-9,-18,11,-3,-13,-8,-7,-15,1,-9,-4,1968
1969,-11,-14,1,18,19,5,-2,3,9,13,13,28,7,3,-12,13,2,11,1969
1970,9,22,8,9,-4,-2,-2,-9,11,6,2,-12,3,6,20,4,-4,6,1970
